"sample","assigned_subtype","max_score","score","risk","subtype.subtype.score","subtype.subtype","subtype.Angiogenic.proba","subtype.nonAngiogenic.proba"
"2b584a37-d6c1-41f9-98b4-1592ac54a82b.rna_seq.augmented_star_gene_counts.tsv","Angiogenic",1,-0.908615695813581,1,-0.908615695813581,"Angiogenic",0.999449134869716,0.000550865130283611
"bfcea1b8-fb75-4e7b-972b-620d9f1fc3bb.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999160660646462,0.390234316338794,0,0.390234316338794,"nonAngiogenic",0.00083933935353794,0.999160660646462
"5a59c958-9d85-4f7b-88ec-4a15a81dae28.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999929566214592,0.610965084340726,0,0.610965084340726,"nonAngiogenic",7.04337854079229e-05,0.999929566214592
"318db280-feca-4c65-aaad-a4942357507f.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999899887053974,0.579649933336302,0,0.579649933336302,"nonAngiogenic",0.000100112946026085,0.999899887053974
"19fb1859-5fb2-443a-a8ea-d3dd9f5e50b9.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999974358237359,0.700950328643468,0,0.700950328643468,"nonAngiogenic",2.56417626405389e-05,0.999974358237359
"02f79514-91bb-4a31-91bc-9c53edd6fef1.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999909338568155,0.588481654833884,0,0.588481654833884,"nonAngiogenic",9.06614318454341e-05,0.999909338568155
"04bfa099-3ca5-4db7-ac00-5d0e32744621.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999937212655915,0.621199420108644,0,0.621199420108644,"nonAngiogenic",6.27873440852557e-05,0.999937212655915
"def689ea-33c2-40fb-bad7-709d4aa13def.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999981187195098,0.728528543443716,0,0.728528543443716,"nonAngiogenic",1.88128049018791e-05,0.999981187195098
"c4e36c8b-6250-4784-bc08-75b7d2549b94.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999968694225145,0.683177084033697,0,0.683177084033697,"nonAngiogenic",3.13057748551991e-05,0.999968694225145
"bb5d75c1-c4fb-440f-8f09-0be3dd6b7daf.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.664749045608682,-0.179469273769481,0,-0.179469273769481,"nonAngiogenic",0.335250954391318,0.664749045608682
"987381dd-ab88-40a1-ade8-e4e3c06ee8a4.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.99981968225248,0.527243488602294,0,0.527243488602294,"nonAngiogenic",0.00018031774751968,0.99981968225248
"3c94176b-696a-453b-b80a-e7d9e3ee91f8.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999922148418335,0.602047682214325,0,0.602047682214325,"nonAngiogenic",7.7851581665135e-05,0.999922148418335
"bba3e52a-fb3f-4339-9969-07f40425e711.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.996903463514367,0.273784067798352,0,0.273784067798352,"nonAngiogenic",0.0030965364856325,0.996903463514367
"8326bd93-55f7-49be-a164-edfb435de3b5.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.99999242356279,0.809520606024309,0,0.809520606024309,"nonAngiogenic",7.57643721043264e-06,0.99999242356279
