"sample","assigned_subtype","max_score","C1_immL","C2_diffL","C3_profL","C4_mescL"
"921df567-b883-4f95-ac75-7c63521b5a95.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.289692412192615,-0.305141943862937,0.289692412192615,0.162847224281385,-0.205498360247416
"2c5a90ae-67c6-46de-b865-1dde61e976bd.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.300944585031742,-0.346839621522568,0.300944585031742,0.269715430279381,-0.312284356226612
"511b6838-b0e6-41c3-8c47-6c0dcbf35393.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.278622355787763,0.278622355787763,0.0924868710441988,-0.482833599212444,-0.226161985612876
"ae54a97a-d99d-4d76-b718-8cc61714b767.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.334652449547215,-0.318605780350249,0.161521720162858,0.334652449547215,-0.0764192162397775
"bba445df-c6f7-4257-9093-d4ea69db84a3.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.161019712688936,0.003233692912592,0.161019712688936,-0.178788999721272,-0.191875515202552
"d563b5ea-0724-4d07-9b31-9713d6edd332.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.440617786468765,-0.466505310663433,0.440617786468765,0.325450783700919,-0.371572605753664
"6ac60ab5-8d16-4e62-9122-0b4d796b9bc0.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.340953339698618,-0.0355098355503105,-0.176098469373875,0.223781453301151,0.340953339698618
"fa8ad93c-f08b-4227-9be1-419b5353b160.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.401844869916915,0.401844869916915,0.000124686439919706,-0.521343618604817,-0.212096362892369
"980e31f1-5128-485e-befe-f68e1df82adb.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.606433508477491,0.606433508477491,-0.59660986317183,-0.294590521459113,0.590097436292795
"e4d2a83e-41fd-44b4-9d2d-80cb3617cfdd.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.564062064487051,0.514593427349769,-0.533837357139697,-0.222435699756261,0.564062064487051
"34e59c84-b0d2-4373-9a9c-b265b828631e.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.409944669469764,0.409944669469764,-0.0713525936076778,-0.489079188485557,-0.100028095218327
"07742557-d413-4ab1-a624-6a003ba346be.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.0716492560326883,0.0716492560326883,-0.054189972170906,-0.135601311802067,0.0339945470072291
"ecd6ce37-bdda-445f-b855-bc00794f03b1.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.155179750093404,0.155179750093404,-0.0952004690345084,-0.17512535359945,0.0465280537056036
