"sample","assigned_subtype","max_score","DIF","IMR","MES","PRO"
"59b900d7-691a-423c-a590-cc9e1f0735dc.rna_seq.augmented_star_gene_counts.tsv","MES",0.701657954070334,0.546233379365066,0.394354407462234,0.701657954070334,0.564887762536607
"4e56c9e5-1d7e-4329-96b3-1825863e4fc0.rna_seq.augmented_star_gene_counts.tsv","IMR",0.74715166716437,0.636458373538751,0.74715166716437,0.326553789941621,0.47199912732755
"c1727ac9-43ce-4f5f-b785-7d9f85f944bb.rna_seq.augmented_star_gene_counts.tsv","IMR",0.799075667306502,0.562269699727231,0.799075667306502,0.493055040775283,0.398891558717615
"2e2a3b0d-9b35-47ef-bfa8-98c2519cff9c.rna_seq.augmented_star_gene_counts.tsv","IMR",0.779003304986243,0.529001137386367,0.779003304986243,0.718124941118008,0.321114503773723
"3f97103b-9c36-40df-b3d3-88e9b118f5ce.rna_seq.augmented_star_gene_counts.tsv","MES",0.820152538016794,0.621436473932522,0.547163939895015,0.820152538016794,0.502561011608398
"8a8dab8f-000a-46bc-9e8e-de80237aed4c.rna_seq.augmented_star_gene_counts.tsv","PRO",0.726498499135344,0.624215200527653,0.513166906557421,0.347994498209787,0.726498499135344
"791c5e20-ea2c-483e-b409-bea457466497.rna_seq.augmented_star_gene_counts.tsv","IMR",0.761439619374406,0.436578704178127,0.761439619374406,0.48484510710077,0.504765149208296
"e790bff9-6d2d-48b7-af55-b1029378322e.rna_seq.augmented_star_gene_counts.tsv","MES",0.720959981936142,0.704919223115404,0.719569112577643,0.720959981936142,0.499140242037665
"774c4255-87c8-4e0d-9f23-64ac32174a82.rna_seq.augmented_star_gene_counts.tsv","PRO",0.767105094971997,0.295226594003846,0.0546533269550548,0.146007936578605,0.767105094971997
"7d14ddef-7a1b-4515-9536-3fc4a9b85702.rna_seq.augmented_star_gene_counts.tsv","IMR",0.656692484987098,0.517089160463681,0.656692484987098,0.564332916234444,0.412593697475126
"9b68eedc-cd12-4d48-865c-d69aec556dd4.rna_seq.augmented_star_gene_counts.tsv","IMR",0.90459121960727,0.697683540240039,0.90459121960727,0.438027370523287,0.0954691779111353
"f0cdf1bd-137e-42cf-a98f-dc9dd37ae19d.rna_seq.augmented_star_gene_counts.tsv","DIF",0.85208131897457,0.85208131897457,0.553418960448844,0.613945581219775,0.213385285934326
"57bfee10-7547-4a15-a774-23ea7e6cf5e9.rna_seq.augmented_star_gene_counts.tsv","DIF",0.981955233493698,0.981955233493698,0.667378021072703,0.416519325534757,0.1030948809116
"d0f28c51-328f-4573-a872-a3ef811d18ca.rna_seq.augmented_star_gene_counts.tsv","IMR",0.608034544978708,0.536674984869634,0.608034544978708,0.318541483675766,0.311924963235062
"36e1390b-65ee-499f-8247-df984c24547f.rna_seq.augmented_star_gene_counts.tsv","MES",0.857389551575445,0.495604601532726,0.732825899270115,0.857389551575445,0.397635062801138
"73fb7bab-b6f9-4411-a0f2-48f884eb5679.rna_seq.augmented_star_gene_counts.tsv","IMR",0.671108207925519,0.658070579733176,0.671108207925519,0.655345718246459,0.453920164209327
"c6996478-e874-456e-ad0c-296658d8baa2.rna_seq.augmented_star_gene_counts.tsv","MES",0.715786284280129,0.395032412327595,0.649220077581495,0.715786284280129,0.439958954182887
"0f3919e2-e4d0-4394-9cba-88b8653694a0.rna_seq.augmented_star_gene_counts.tsv","PRO",0.648099529047399,0.478610143393596,0.171305492677576,0.362462302227253,0.648099529047399
"25ff83ac-f657-473a-a0d0-fd5e98e2f691.rna_seq.augmented_star_gene_counts.tsv","MES",0.733159462824527,0.565522041298968,0.713172158267033,0.733159462824527,0.64506515555886
"ff23c7dc-14a8-43a4-a00b-3bafdc645e46.rna_seq.augmented_star_gene_counts.tsv","DIF",0.703674144954203,0.703674144954203,0.674510126425252,0.574974566767059,0.383781541478908
"24de03d9-8635-4173-ad2b-08d01f7ff27f.rna_seq.augmented_star_gene_counts.tsv","PRO",0.815659753504776,0.208318066754153,0.198418485493995,0.472839995504258,0.815659753504776
"cfdb5780-7a6a-41ec-80f6-1405a06ba81d.rna_seq.augmented_star_gene_counts.tsv","PRO",0.760110217957776,0.353191103685614,0.46219902085038,0.269468873753969,0.760110217957776
"f3aafcfa-9e92-4d07-905c-c9b4fdd276c0.rna_seq.augmented_star_gene_counts.tsv","IMR",0.73114917359763,0.335255149691107,0.73114917359763,0.538838918337881,0.434091267003668
"962fb836-bac4-4da3-8705-fe9a5cacde8e.rna_seq.augmented_star_gene_counts.tsv","MES",0.875092750068932,0.514227825608688,0.579254770065643,0.875092750068932,0.79972585115603
"d936e585-e711-48ec-955f-ef3dc5ca7353.rna_seq.augmented_star_gene_counts.tsv","MES",0.832407069912684,0.425070534254094,0.672918631306807,0.832407069912684,0.782705116315939
"c18d6e53-5ede-44c8-a80a-0b961d59a094.rna_seq.augmented_star_gene_counts.tsv","MES",0.834333665868472,0.718680908091289,0.689911702229507,0.834333665868472,0.471076467515265
