"case_submitter_id","sample_type_code","sample_barcode","aliquot_barcode","sample","qc_flag","qc_dnu","qc_center_failed","qc_low_coverage","qc_high_mitochondrial","annotation_categories","annotation_notes","consensusOV_subtype","konecny_subtype","helland_subtype","verhaak_subtype","bentink_subtype"
"TCGA-24-0979","01","TCGA-24-0979-01A","TCGA-24-0979-01A-01R-1565-13","32d18d49-fe09-4929-a5f6-34150f155c3e.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Center QC failed; Item flagged DNU","RNA-seq:LOW 5/3 COVERAGE RATIO; QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.","DIF_consensus","C2_diffL","C4","DIF","nonAngiogenic"
"TCGA-24-0982","01","TCGA-24-0982-01A","TCGA-24-0982-01A-01R-1565-13","02d00dd6-708d-46a9-b885-d6d14eed564d.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO","PRO_consensus","C3_profL","C5","MES","nonAngiogenic"
"TCGA-24-1104","01","TCGA-24-1104-01A","TCGA-24-1104-01A-01R-1565-13","57bfee10-7547-4a15-a774-23ea7e6cf5e9.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,FALSE,TRUE,"Center QC failed; Item flagged DNU","RNA-seq:HIGH MITOCHONDRIAL CONTENT; QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.","DIF_consensus","C1_immL","C4","DIF","nonAngiogenic"
"TCGA-24-1105","01","TCGA-24-1105-01A","TCGA-24-1105-01A-01R-1565-13","c5318c3f-ea9a-421a-be7c-26fa120568c6.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,FALSE,TRUE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:HIGH MITOCHONDRIAL CONTENT","MES_consensus","C2_diffL","C5","DIF","nonAngiogenic"
"TCGA-24-1426","01","TCGA-24-1426-01A","TCGA-24-1426-01A-01R-1565-13","6ae5397f-2128-454e-bda8-c389d8e7ac05.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,TRUE,"Center QC failed; Item flagged DNU","RNA-seq:LOW 5/3 COVERAGE RATIO;HIGH MITOCHONDRIAL CONTENT; QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.","PRO_consensus","C2_diffL","C5","PRO","nonAngiogenic"
"TCGA-24-1431","01","TCGA-24-1431-01A","TCGA-24-1431-01A-01R-1566-13","f6e1478c-72b3-45ae-a328-bba09df4a0a5.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO","DIF_consensus","C2_diffL","C4","DIF","nonAngiogenic"
"TCGA-24-1464","01","TCGA-24-1464-01A","TCGA-24-1464-01A-01R-1566-13","a437b3c5-4dce-41f1-a050-61055225ab47.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Center QC failed; Item flagged DNU","RNA-seq:LOW 5/3 COVERAGE RATIO; QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.","IMR_consensus","C2_diffL","C5","IMR","nonAngiogenic"
"TCGA-24-1470","01","TCGA-24-1470-01A","TCGA-24-1470-01A-01R-1566-13","c3955ac8-3d67-448a-9cdd-683afd745ffa.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Center QC failed; Item flagged DNU","RNA-seq:LOW 5/3 COVERAGE RATIO; QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.","IMR_consensus","C1_immL","C2","IMR","nonAngiogenic"
"TCGA-24-1471","01","TCGA-24-1471-01A","TCGA-24-1471-01A-01R-1566-13","a08f5098-e161-40dd-b807-216cf71ebcce.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,FALSE,TRUE,"Center QC failed; Item flagged DNU","RNA-seq:HIGH MITOCHONDRIAL CONTENT; QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.","DIF_consensus","C2_diffL","C5","DIF","nonAngiogenic"
"TCGA-24-1565","01","TCGA-24-1565-01A","TCGA-24-1565-01A-01R-1566-13","d90d2b4f-8865-440d-a8b7-e0b7c947e095.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,TRUE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO;HIGH MITOCHONDRIAL CONTENT","DIF_consensus","C1_immL","C4","DIF","nonAngiogenic"
