"sample","assigned_subtype","max_score","C1","C2","C4","C5"
"43c987b0-278d-49c9-a332-8cfcc9bdb05a.rna_seq.augmented_star_gene_counts.tsv","C5",2.11036986017337,-0.841256382320522,-1.43555698937635,0.415239627571186,2.11036986017337
"ebf7da61-9344-4a92-8b51-05ec9a19a222.rna_seq.augmented_star_gene_counts.tsv","C4",2.30697936679209,-1.01276938312807,-0.56272283477642,2.30697936679209,0.252660089312789
"207cda7f-138a-4ae2-a6fd-90a003a94073.rna_seq.augmented_star_gene_counts.tsv","C5",1.53999208027211,-0.62944634456855,-1.23770169847367,0.457477564087717,1.53999208027211
"872f7c22-17e4-4940-809b-a0970fde369b.rna_seq.augmented_star_gene_counts.tsv","C2",0.542251481291393,-0.487005700253382,0.542251481291393,0.499664743143828,-0.629138208496454
"95c5928f-acf9-4833-b63c-ad53bfd24ac2.rna_seq.augmented_star_gene_counts.tsv","C4",0.390689844433583,-0.415896982823406,-0.247907863398043,0.390689844433583,0.048253969448369
"fa7a010e-704d-4b55-b1ee-a6a369ef74b4.rna_seq.augmented_star_gene_counts.tsv","C1",0.977512581508676,0.977512581508676,-0.500467208084118,-0.815342597575307,-0.050783149508288
"921df567-b883-4f95-ac75-7c63521b5a95.rna_seq.augmented_star_gene_counts.tsv","C4",0.266456805173812,-0.396592267536592,-0.53875370455676,0.266456805173812,-0.0960108332507665
"2c5a90ae-67c6-46de-b865-1dde61e976bd.rna_seq.augmented_star_gene_counts.tsv","C5",1.31647030426874,-0.822076036462756,-1.03265668677839,0.598562312194827,1.31647030426874
"511b6838-b0e6-41c3-8c47-6c0dcbf35393.rna_seq.augmented_star_gene_counts.tsv","C2",0.883168092730823,-0.689316873515329,0.883168092730823,0.506103484977124,-0.521943718700108
"ae54a97a-d99d-4d76-b718-8cc61714b767.rna_seq.augmented_star_gene_counts.tsv","C4",0.125365726431109,-0.0371654681064245,-0.323161268745708,0.125365726431109,-0.0383456755177948
