"sample_id","cluster"
"1f1e8c1b-1eb8-4efd-bf25-0c8c7e939c30.mirbase21.mirnas.quantification.txt",1
"966888b8-9194-44b5-a7e8-feb9a82ef136.mirbase21.mirnas.quantification.txt",4
"ad52672f-9fa6-4d21-8790-884883a69949.mirbase21.mirnas.quantification.txt",1
"36f2b200-3e96-475e-8cdf-5df3a85cb2ca.mirbase21.mirnas.quantification.txt",2
"67b376d2-5852-4bab-8ec9-afc8b803b186.mirbase21.mirnas.quantification.txt",1
"7e733b33-2620-4010-b44b-e70f7501c424.mirbase21.mirnas.quantification.txt",4
"0cb0d80c-c3cb-4981-b07e-b8babe1ec06e.mirbase21.mirnas.quantification.txt",1
"adf346ae-77e4-402a-bddf-5bf2fb83eec8.mirbase21.mirnas.quantification.txt",4
"868dd709-e0d7-4aca-bd4d-bcd22f828508.mirbase21.mirnas.quantification.txt",2
"cebb6715-88e3-4c25-bff6-15a7fc44d183.mirbase21.mirnas.quantification.txt",1
"bc282b33-4b39-49d1-90d3-7d74d9eb2119.mirbase21.mirnas.quantification.txt",2
"0f4d00cf-39a5-4e6b-9e33-30c763e7ed75.mirbase21.mirnas.quantification.txt",4
"aa862aa2-2f1d-4d11-aebd-4510387f1f7f.mirbase21.mirnas.quantification.txt",1
"489e1313-1bd0-4e09-a6b9-937559ae3a00.mirbase21.mirnas.quantification.txt",1
"3cf91aaa-a006-42af-9547-a227a7e21f75.mirbase21.mirnas.quantification.txt",4
"54226146-df11-45c7-be4e-3af9dc1540e7.mirbase21.mirnas.quantification.txt",4
"766881fe-01d6-4a1b-9312-1dde8f1e1f80.mirbase21.mirnas.quantification.txt",1
"90e60733-1277-47e2-b6c8-2fb446868749.mirbase21.mirnas.quantification.txt",1
"66f8d6d3-b335-452a-9dca-10b7730f10bb.mirbase21.mirnas.quantification.txt",4
"e3ad30ce-354c-4032-9cf1-a725c1e45cb2.mirbase21.mirnas.quantification.txt",1
"598539fc-0c4d-41ec-998a-853094b4c7ce.mirbase21.mirnas.quantification.txt",1
"2261e2ac-506a-4a85-b752-7d1796a338ad.mirbase21.mirnas.quantification.txt",1
"a28f9f92-05d0-4e51-aba7-bdfbd6e5430d.mirbase21.mirnas.quantification.txt",4
"1c5eed72-c7f8-4320-baaf-1338cddd6618.mirbase21.mirnas.quantification.txt",4
