cluster,miRNA,mean_in_cluster,mean_other_clusters,log2fc_vs_rest,p_value,fdr
2,hsa-mir-26a-1,8.028143547167236,8.450261142450325,-0.4221175952830887,2.1154339960444355e-4,0.0018644503015984855
2,hsa-mir-514b,-1.1521723013172387,-0.7299875817354087,-0.42218471958183,0.04017732229381248,0.14212114228052036
2,hsa-mir-144,-0.5823539259642709,-0.15061893359285045,-0.4317349923714205,0.14153137005859348,0.35726365257509035
2,hsa-mir-27b,9.397620187145472,9.832471298115244,-0.43485111096977214,6.524714940406131e-5,7.068441185439976e-4
2,hsa-mir-135b,2.2241665887374804,2.661948832342868,-0.43778224360538776,0.02354779158172906,0.09160736874687614
2,hsa-mir-30a,12.64385718768712,13.083083495333705,-0.4392263076465852,1.8655712556549936e-4,0.0016864303881688968
2,hsa-mir-885,5.4798975427832834,5.9203779156433765,-0.440480372860093,0.09099767088235351,0.25623892883839616
2,hsa-mir-20b,1.3580244454464758,1.7999620836606347,-0.4419376382141589,0.047097862634833884,0.15937671520681312
2,hsa-mir-19b-1,0.6431382510936317,1.0867023885248963,-0.44356413743126466,0.008580373582774171,0.0410594564083672
2,hsa-mir-320d-1,0.2524890105087407,0.6973947971389174,-0.4449057866301767,0.00531630571709646,0.027737247219633703
2,hsa-mir-513a-1,-1.1548272103654766,-0.7006134053249473,-0.45421380504052933,0.016883626153787523,0.06931172842081194
2,hsa-mir-362,3.6536090292049024,4.115453981609922,-0.46184495240501944,0.008669481568384959,0.04135899463816677
2,hsa-mir-29b-2,5.052662987677093,5.518851667408608,-0.46618867973151534,0.0015674613385722454,0.01002147413185534
2,hsa-mir-525,-1.5035672848053039,-1.027898032389927,-0.47566925241537694,0.0260885973034848,0.09975051910155953
2,hsa-mir-34b,1.7650599734974215,2.2448322854948985,-0.47977231199747705,0.090348101140558107,0.25486986940193607
2,hsa-let-7f-1,9.023494370386661,9.509010631612526,-0.48551626122586455,0.0077391779343066085,0.037822254597337526
2,hsa-mir-942,2.056446056101974,2.543223241390718,-0.4867771852887439,0.0013529832326971008,0.008794391012531155
2,hsa-mir-582,2.0613409980814965,2.548700972502691,-0.4873599744211945,0.0338349848710481,0.12303630862199309
2,hsa-let-7f-2,9.04123603492952,9.529064035462515,-0.48782800053299447,0.006284254877637896,0.031829342886737395
